Sektor_ID,Lat,Lon,dist_to_ditch,manholes_300m,in_basin
S_1,50.96,16.71,19204.135492674224,0,0
S_10,51.14,16.71,6812.088247351817,0,0
S_100,51.14,16.83,299.0414108789792,0,0
S_101,51.16,16.83,193.31260986371726,0,0
S_102,51.18,16.83,218.76394220477843,0,0
S_103,51.2,16.83,1750.8307657517241,0,0
S_104,51.22,16.83,3972.2796854622675,0,0
S_105,51.24,16.83,5445.385947041962,0,0
S_106,50.96,16.85,12984.678140135653,0,0
S_107,50.98,16.85,11325.094646471813,0,0
S_108,51.0,16.85,9861.896499378292,0,0
S_109,51.02,16.85,8418.741567826879,0,0
S_11,51.16,16.71,7197.1030753367495,0,0
S_110,51.04,16.85,6723.889490045874,0,0
S_111,51.06,16.85,5421.191720799655,0,0
S_112,51.08,16.85,3253.6617859423213,0,0
S_113,51.1,16.85,1042.0817532091583,0,0
S_114,51.12,16.85,152.9756075835791,0,0
S_115,51.14,16.85,30.375214416566127,145,0
S_116,51.16,16.85,129.81078397110568,0,0
S_117,51.18,16.85,328.7539166104857,0,0
S_118,51.2,16.85,2136.925593380406,0,0
S_119,51.22,16.85,2891.784132546267,0,0
S_12,51.18,16.71,7880.060446899775,0,0
S_120,51.24,16.85,4629.559266687689,0,0
S_121,50.96,16.87,12162.057822383023,0,0
S_122,50.98,16.87,10372.104290519828,0,0
S_123,51.0,16.87,8783.28397005277,0,0
S_124,51.02,16.87,7374.158792219467,0,0
S_125,51.04,16.87,5793.450664727714,0,0
S_126,51.06,16.87,4219.665969002121,0,0
S_127,51.08,16.87,3145.7712341569377,0,0
S_128,51.1,16.87,997.1952678499711,0,0
S_129,51.12,16.87,75.42879838910036,42,0
S_13,51.2,16.71,8327.208531487542,0,0
S_130,51.14,16.87,95.03052149332437,144,0
S_132,51.18,16.87,62.120452330664996,0,0
S_134,51.22,16.87,2011.4215042469016,0,0
S_136,50.96,16.89,11452.977110542222,0,0
S_137,50.98,16.89,9531.1532212864,0,0
S_139,51.02,16.89,6287.684180771339,0,0
S_14,51.22,16.71,9167.625026369526,0,0
S_141,51.06,16.89,3177.1374557814597,0,0
S_143,51.1,16.89,584.150058798024,0,0
S_144,51.12,16.89,29.2480101924891,21,0
S_146,51.16,16.89,88.52606590553637,16,0
S_148,51.2,16.89,128.5731600417197,0,0
S_149,51.22,16.89,1612.966088400308,0,0
