Sektor_ID,Lat,Lon,dist_to_ditch,manholes_300m,in_basin,NDVI,NDWI,NDMI,Forecast_Date,Step
S_153,51.0,16.91,6900.951084593016,0,0,0.31310093,-0.4209607,-0.11573914,2026-03-01,1
S_155,51.04,16.91,3800.973434448058,0,0,0.28260925,-0.3797694,-0.13383026,2026-03-01,1
S_157,51.08,16.91,678.6116760835603,0,0,0.31402528,-0.40972266,-0.11093657,2026-03-01,1
S_158,51.1,16.91,856.39299833093,0,0,0.3315663,-0.42648643,-0.098616675,2026-03-01,1
S_16,50.96,16.73,18562.794541818243,0,0,0.3033093,-0.3995808,-0.10379988,2026-03-01,1
S_160,51.14,16.91,79.09561123337517,67,0,0.3160674,-0.40741983,-0.10731275,2026-03-01,1
S_162,51.18,16.91,140.86672674542552,12,0,0.31755552,-0.42041573,-0.13518356,2026-03-01,1
S_164,51.22,16.91,1287.798552325959,0,0,0.33670098,-0.41777146,-0.10118315,2026-03-01,1
S_165,51.24,16.91,3216.653967735071,0,0,0.33156335,-0.42919815,-0.13763386,2026-03-01,1
S_166,50.96,16.93,10464.433929184495,0,0,0.3521923,-0.45580947,-0.15527701,2026-03-01,1
S_168,51.0,16.93,6226.424610680338,0,0,0.27670124,-0.39440155,-0.15439071,2026-03-01,1
S_169,51.02,16.93,4272.15334819429,0,0,0.35722885,-0.44681883,-0.118669935,2026-03-01,1
S_17,50.98,16.73,16577.85936257925,0,0,0.36124113,-0.43790415,-0.059481055,2026-03-01,1
S_171,51.06,16.93,1405.8627140060885,0,0,0.3179697,-0.41424134,-0.16795051,2026-03-01,1
S_172,51.08,16.93,153.7128938178727,8,0,0.3405961,-0.42654544,-0.11964301,2026-03-01,1
S_174,51.12,16.93,110.37966010894912,171,0,0.3274684,-0.41531992,-0.08426704,2026-03-01,1
S_175,51.14,16.93,35.063298395709715,86,0,0.29548353,-0.3854212,-0.1004842,2026-03-01,1
S_176,51.16,16.93,119.28241091083214,232,0,0.31722885,-0.39781374,-0.09538138,2026-03-01,1
S_177,51.18,16.93,116.24242338942592,0,0,0.28235185,-0.35368252,-0.14564662,2026-03-01,1
S_178,51.2,16.93,243.57309243338528,0,0,0.3445121,-0.4263877,-0.1627552,2026-03-01,1
S_18,51.0,16.73,14659.31178278656,0,0,0.35293752,-0.42167652,0.0037797077,2026-03-01,1
S_180,51.24,16.93,3093.126161565517,0,0,0.352343,-0.44426662,-0.114904135,2026-03-01,1
S_181,50.96,16.95,10226.581742100509,0,0,0.35883287,-0.4731823,-0.14833632,2026-03-01,1
S_182,50.98,16.95,8016.664197115699,0,0,0.31629667,-0.43955693,-0.27960467,2026-03-01,1
S_183,51.0,16.95,5818.1929194215,0,0,0.2653426,-0.35352436,-0.113416724,2026-03-01,1
S_184,51.02,16.95,3651.912744084874,0,0,0.3100207,-0.42458487,-0.20425767,2026-03-01,1
S_185,51.04,16.95,1649.9390675083405,0,0,0.16898608,-0.24767396,-0.082037635,2026-03-01,1
S_186,51.06,16.95,410.0436766351651,0,0,0.29150116,-0.4093567,-0.19196542,2026-03-01,1
S_187,51.08,16.95,135.73596988018187,17,0,0.23678236,-0.3417332,-0.15600546,2026-03-01,1
S_188,51.1,16.95,247.77790874820764,497,0,0.30235827,-0.38281855,-0.069009386,2026-03-01,1
S_19,51.02,16.73,12840.031827983006,0,0,0.2857111,-0.34943172,-0.04637026,2026-03-01,1
S_190,51.14,16.95,58.19435946083127,26,0,0.29160416,-0.36540437,-0.09314987,2026-03-01,1
S_192,51.18,16.95,178.81956525149948,0,0,0.3551411,-0.44980565,-0.08642204,2026-03-01,1
S_193,51.2,16.95,22.64852181705673,0,0,0.3423517,-0.45007187,-0.13186905,2026-03-01,1
S_194,51.22,16.95,1150.6667062630731,0,0,0.30809912,-0.396799,-0.1113758,2026-03-01,1
S_195,51.24,16.95,3375.3802928720816,0,0,0.34512147,-0.4344993,-0.10532606,2026-03-01,1
S_197,50.98,16.97,7910.592124100563,0,0,0.31044495,-0.4329455,-0.2722972,2026-03-01,1
S_198,51.0,16.97,5733.420616111684,0,0,0.28335962,-0.37654757,-0.15495226,2026-03-01,1
S_2,50.98,16.71,17290.38293212061,0,0,0.3561364,-0.43199024,-0.0104708,2026-03-01,1
S_20,51.04,16.73,11168.639446384244,0,0,0.33197933,-0.40748742,-0.054883663,2026-03-01,1
S_200,51.04,16.97,1320.5917622766913,0,0,0.29137662,-0.37125006,-0.057524614,2026-03-01,1
S_202,51.08,16.97,340.05915963391885,216,0,0.4103568,-0.47966588,-0.03518981,2026-03-01,1
S_204,51.12,16.97,67.7717167848776,382,0,0.250311,-0.32207802,-0.09715626,2026-03-01,1
S_207,51.18,16.97,2.9191676711853622,0,0,0.3070162,-0.44614208,-0.09476793,2026-03-01,1
S_209,51.22,16.97,1398.73570960171,0,0,0.30583814,-0.40327942,-0.106435895,2026-03-01,1
S_21,51.06,16.73,9721.71749163114,0,0,0.3328301,-0.40651044,-0.032079205,2026-03-01,1
S_211,50.96,16.99,9604.746935014811,0,0,0.28711233,-0.4200771,-0.24659194,2026-03-01,1
S_213,51.0,16.99,5357.026442742652,0,0,0.31874603,-0.43044782,-0.25501016,2026-03-01,1
S_215,51.04,16.99,1331.156605452766,0,0,0.35787198,-0.4402482,-0.08365422,2026-03-01,1
S_218,51.1,16.99,95.92616121470772,365,0,0.25937685,-0.33503056,-0.0922496,2026-03-01,1
S_22,51.08,16.73,8506.568173937441,0,0,0.30749667,-0.3947102,-0.07509312,2026-03-01,1
S_220,51.14,16.99,268.2790269957991,83,0,0.18267895,-0.25164643,-0.04107744,2026-03-01,1
S_222,51.18,16.99,123.6884542477482,11,0,0.3047086,-0.42303136,-0.091268025,2026-03-01,1
S_224,51.22,16.99,1746.1197465715757,0,0,0.3085471,-0.40448657,-0.074925736,2026-03-01,1
S_225,51.24,16.99,3909.727010031838,0,0,0.31240445,-0.3999564,-0.048103105,2026-03-01,1
S_227,50.98,17.01,7107.333504160153,0,0,0.33365571,-0.44739568,-0.17652538,2026-03-01,1
S_229,51.02,17.01,2861.553217630114,0,0,0.3421571,-0.44252986,-0.18086556,2026-03-01,1
S_23,51.1,16.73,6936.109378879808,0,0,0.34498352,-0.4212737,-0.0783953,2026-03-01,1
S_231,51.06,17.01,185.8425725294435,221,0,0.32580715,-0.4048494,-0.044778913,2026-03-01,1
S_233,51.1,17.01,739.3658417430682,357,0,0.21769565,-0.29108214,-0.11077133,2026-03-01,1
S_236,51.16,17.01,47.96600225330634,194,0,0.31257424,-0.41543883,-0.07779518,2026-03-01,1
S_238,51.2,17.01,522.3469551576198,0,0,0.32574838,-0.4220495,-0.07699506,2026-03-01,1
S_24,51.12,16.73,5810.251733180315,0,0,0.37405142,-0.4381454,-0.049641714,2026-03-01,1
S_240,51.24,17.01,4320.154486873881,0,0,0.35415918,-0.4370588,-0.0704746,2026-03-01,1
S_242,50.98,17.03,6980.9290012326765,0,0,0.34223634,-0.45637807,-0.2083461,2026-03-01,1
S_243,51.0,17.03,4756.164058545855,0,0,0.29878968,-0.42548662,-0.22188729,2026-03-01,1
S_246,51.06,17.03,168.58167701773638,168,0,0.35204569,-0.41698435,-0.056485873,2026-03-01,1
S_248,51.1,17.03,1524.3718245292073,326,0,0.14153855,-0.20863682,-0.12075628,2026-03-01,1
S_25,51.14,16.73,5412.525413426852,0,0,0.3652671,-0.42843732,-0.008072913,2026-03-01,1
S_250,51.14,17.03,587.7412940066755,456,0,0.18215124,-0.2425121,-0.07970584,2026-03-01,1
S_252,51.18,17.03,253.34953180821336,6,0,0.33367518,-0.4251499,-0.06563849,2026-03-01,1
S_254,51.22,17.03,3149.442431326004,0,0,0.33679044,-0.4335198,-0.051582467,2026-03-01,1
S_256,50.96,17.05,9322.345445162837,0,0,0.29659468,-0.41691765,-0.27498823,2026-03-01,1
S_259,51.02,17.05,2910.9997256157144,0,0,0.37363034,-0.4586232,-0.16369878,2026-03-01,1
S_26,51.16,16.73,5863.717409588568,0,0,0.32219222,-0.38935325,-0.043978315,2026-03-01,1
S_261,51.06,17.05,26.754012374311475,241,0,0.29979825,-0.38822925,-0.093958676,2026-03-01,1
S_263,51.1,17.05,905.3365178959564,428,0,0.17942029,-0.24871504,-0.100257665,2026-03-01,1
S_265,51.14,17.05,1096.9398205322211,166,0,0.287313,-0.35824296,-0.060779016,2026-03-01,1
S_267,51.18,17.05,781.3390905233456,0,0,0.32502526,-0.42052785,-0.072978474,2026-03-01,1
S_27,51.18,16.73,6493.224785585582,0,0,0.4095215,-0.4675988,-0.015245749,2026-03-01,1
S_270,51.24,17.05,5775.605634906718,0,0,0.4527232,-0.5082133,0.009423741,2026-03-01,1
S_272,50.98,17.07,7285.075000429359,0,0,0.30452818,-0.41770875,-0.20171236,2026-03-01,1
S_274,51.02,17.07,2878.275441631271,0,0,0.34058917,-0.44076183,-0.18534635,2026-03-01,1
S_276,51.06,17.07,18.403622301136235,17,0,0.35548824,-0.4413402,-0.08360769,2026-03-01,1
S_278,51.1,17.07,263.626736591189,71,0,0.26183456,-0.32800275,-0.09259955,2026-03-01,1
S_28,51.2,16.73,7008.001097177331,0,0,0.32055795,-0.4417155,-0.11275845,2026-03-01,1
S_280,51.14,17.07,5.296732199324818,340,0,0.29758015,-0.3879929,-0.08582809,2026-03-01,1
S_283,51.2,17.07,2821.0569727528555,0,0,0.39593777,-0.47643518,-0.05618139,2026-03-01,1
S_285,51.24,17.07,6615.739492012172,0,0,0.5426988,-0.59559643,0.02981662,2026-03-01,1
S_286,50.96,17.09,9505.401786812829,0,0,0.35279384,-0.45772383,-0.21866786,2026-03-01,1
S_288,51.0,17.09,5068.946250743713,0,0,0.3339271,-0.4384041,-0.24617456,2026-03-01,1
S_29,51.22,16.73,7938.677214869078,0,0,0.33476758,-0.4324618,-0.11014823,2026-03-01,1
S_290,51.04,17.09,627.9980417595431,0,0,0.33612308,-0.4397772,-0.17230643,2026-03-01,1
S_292,51.08,17.09,88.13980394258562,107,0,0.34782848,-0.43760887,-0.0800704,2026-03-01,1
S_294,51.12,17.09,450.62107651110034,141,0,0.33845952,-0.41458765,-0.07947265,2026-03-01,1
S_296,51.16,17.09,60.45637724612981,0,0,0.34126118,-0.44781527,-0.08708028,2026-03-01,1
S_297,51.18,17.09,402.1787713061745,0,0,0.38262838,-0.47590706,-0.09048567,2026-03-01,1
S_299,51.22,17.09,4841.310711102912,0,0,0.3631083,-0.46335402,-0.077719614,2026-03-01,1
S_3,51.0,16.71,15460.167737524162,0,0,0.33061543,-0.40119898,0.006845987,2026-03-01,1
S_30,51.24,16.73,9275.33000166609,0,0,0.34910378,-0.44136488,-0.08421579,2026-03-01,1
S_301,50.96,17.11,9502.278649368596,0,0,0.35597736,-0.46616277,-0.20345782,2026-03-01,1
S_303,51.0,17.11,5062.534830177265,0,0,0.36579788,-0.45599073,-0.21948016,2026-03-01,1
S_305,51.04,17.11,752.6021058611249,0,0,0.3218683,-0.42704362,-0.13030797,2026-03-01,1
S_306,51.06,17.11,404.7006786032911,0,0,0.3359613,-0.44481274,-0.09779706,2026-03-01,1
S_308,51.1,17.11,626.639890995596,124,0,0.3194195,-0.41375783,-0.07805412,2026-03-01,1
S_309,51.12,17.11,293.12140737681347,400,0,0.24016863,-0.32403022,-0.09753869,2026-03-01,1
S_31,50.96,16.75,18000.470905369522,0,0,0.34504363,-0.43015537,-0.07196828,2026-03-01,1
S_311,51.16,17.11,11.974441257387422,96,0,0.31483433,-0.4093693,-0.076407805,2026-03-01,1
S_313,51.2,17.11,2734.1440659639547,0,0,0.3458032,-0.4280177,-0.03705806,2026-03-01,1
S_314,51.22,17.11,4788.973441161141,0,0,0.31674927,-0.42124668,-0.08346427,2026-03-01,1
S_316,50.96,17.13,9406.611013607397,0,0,0.33658484,-0.46176833,-0.14805965,2026-03-01,1
S_318,51.0,17.13,4998.414551367272,0,0,0.38944232,-0.4755952,-0.12933058,2026-03-01,1
S_32,50.98,16.75,15952.247462011475,0,0,0.28953913,-0.36187267,-0.08385735,2026-03-01,1
S_320,51.04,17.13,1041.5912548421352,0,0,0.30360812,-0.40136957,-0.09064957,2026-03-01,1
S_322,51.08,17.13,49.6135296497983,0,0,0.36625734,-0.47739255,-0.0720265,2026-03-01,1
S_324,51.12,17.13,26.32567471779296,52,0,0.29725087,-0.40255484,-0.07941694,2026-03-01,1
S_326,51.16,17.13,94.59162240169668,258,0,0.3177087,-0.39903182,-0.07027566,2026-03-01,1
S_328,51.2,17.13,2233.8334123942354,0,0,0.3474804,-0.43393567,-0.049056895,2026-03-01,1
S_33,51.0,16.75,13953.746654401524,0,0,0.3129672,-0.39478603,-0.08732849,2026-03-01,1
S_330,51.24,17.13,6649.757122092191,0,0,0.324302,-0.43241057,-0.031681508,2026-03-01,1
S_331,50.96,17.15,9302.065628001628,0,0,0.32880935,-0.4452564,-0.23098293,2026-03-01,1
S_333,51.0,17.15,4852.415661603735,0,0,0.38478172,-0.47118098,-0.111675285,2026-03-01,1
S_334,51.02,17.15,2627.7286660969885,0,0,0.30424595,-0.3868793,-0.050851874,2026-03-01,1
S_335,51.04,17.15,405.3255842916269,0,0,0.30410782,-0.39452705,-0.101792164,2026-03-01,1
S_336,51.06,17.15,311.1005865256748,0,0,0.29147363,-0.37470454,-0.091804534,2026-03-01,1
S_338,51.1,17.15,47.71133279133735,48,0,0.39662167,-0.48992157,-0.08087723,2026-03-01,1
S_34,51.02,16.75,12028.58577000032,0,0,0.24765047,-0.30933213,-0.05903297,2026-03-01,1
S_340,51.14,17.15,612.9558315376042,0,0,0.33749515,-0.43336934,-0.07249309,2026-03-01,1
S_342,51.18,17.15,504.73404352611607,0,0,0.3264883,-0.43169484,-0.072029844,2026-03-01,1
S_344,51.22,17.15,4456.511132128606,0,0,0.35569364,-0.4473644,-0.052280422,2026-03-01,1
S_346,50.96,17.17,9400.094892925816,0,0,0.36698073,-0.47081485,-0.1396668,2026-03-01,1
S_347,50.98,17.17,7205.537667660058,0,0,0.33586282,-0.4426591,-0.2044585,2026-03-01,1
S_348,51.0,17.17,5037.643313075092,0,0,0.3609617,-0.45063716,-0.09703738,2026-03-01,1
S_349,51.02,17.17,2955.6922018360483,0,0,0.30392,-0.41097742,-0.105129726,2026-03-01,1
S_35,51.04,16.75,10225.838452160657,0,0,0.32601506,-0.39763415,-0.061994713,2026-03-01,1
S_351,51.06,17.17,928.5546687939476,0,0,0.20011517,-0.27812323,-0.11500208,2026-03-01,1
S_353,51.1,17.17,64.3623122469601,11,0,0.33676744,-0.4272006,-0.06724213,2026-03-01,1
S_354,51.12,17.17,782.985738214666,0,0,0.3384663,-0.44106045,-0.078936405,2026-03-01,1
