ID_mpwik,geometry
58624,POINT (6424917.67 5665636.5)
94023,POINT (6429033.3 5663734.22)
94557,POINT (6421348.4 5668431.81)
94565,POINT (6429486.37 5661268.42)
89903,POINT (6433645.41 5663078.84)
62042,POINT (6427456.61 5666678.75)
62044,POINT (6427549.84 5666633.21)
62046,POINT (6427586.47 5666614.21)
59996,POINT (6427667.19 5667638.74)
59998,POINT (6427710.32 5667637.35)
60000,POINT (6427656.91 5667590.33)
60002,POINT (6427667.54 5667592.49)
60004,POINT (6427672.29 5667596.05)
60006,POINT (6427711.13 5667662.05)
60008,POINT (6427667.92 5667658.24)
60010,POINT (6427655.69 5667640.6)
60012,POINT (6427683.17 5667612.8)
60014,POINT (6427604.04 5667639.32)
60016,POINT (6427587.68 5667686.6)
60018,POINT (6427587.04 5667692.87)
61290,POINT (6428159.57 5667327.49)
61292,POINT (6428202.3 5667299.79)
61296,POINT (6428277.41 5667514.86)
61298,POINT (6428312.46 5667476.68)
61300,POINT (6428210.9 5667447.81)
61302,POINT (6428281.3 5667483.38)
61304,POINT (6428312.83 5667451.08)
61306,POINT (6428323.01 5667318.78)
61308,POINT (6428322.93 5667327.97)
61310,POINT (6428322.89 5667346.44)
59550,POINT (6427486.98 5667798.88)
61194,POINT (6428115.94 5667181.73)
61196,POINT (6427893.83 5667204.84)
61204,POINT (6427962.23 5667254.51)
61208,POINT (6428487.51 5667291.7)
61130,POINT (6427851.13 5667255.24)
61132,POINT (6427828.43 5667263.76)
57312,POINT (6435998.96 5658175.79)
57330,POINT (6436024.29 5658274.73)
57332,POINT (6436040.52 5658323.72)
94483,POINT (6432936.47 5661827.15)
94485,POINT (6432927.7 5661824.4)
94501,POINT (6427143.27 5662679.21)
94527,POINT (6431285.65 5658576.8)
94531,POINT (6432677.4 5659109.87)
59718,POINT (6425746.58 5667962.3)
93705,POINT (6434304.28 5662457.01)
93719,POINT (6429963.06 5659079.49)
93765,POINT (6426888.8 5660633.7)
93681,POINT (6435337.39 5668571.53)
94309,POINT (6433566.96 5665262.56)
94311,POINT (6439314.55 5669918.53)
94329,POINT (6436426.32 5665524.21)
94331,POINT (6436390.17 5665521.73)
94353,POINT (6429141.16 5666039.55)
94361,POINT (6429948.94 5659160.83)
94363,POINT (6427373.7 5664681.46)
94365,POINT (6429775.11 5658996.51)
94369,POINT (6427264.6 5664610.36)
92061,POINT (6437855.51 5666643.1)
89839,POINT (6430573.21 5663287.18)
89845,POINT (6430748.39 5663448.09)
89855,POINT (6432602.63 5663203.51)
59604,POINT (6427575.73 5668021.32)
93221,POINT (6426586.59 5665351.19)
90691,POINT (6437284.22 5665887.74)
90725,POINT (6437379.71 5665749.94)
90739,POINT (6435216.37 5664034.08)
91379,POINT (6433813.4 5666101.74)
91389,POINT (6433944.49 5666173.11)
91419,POINT (6437701.54 5666284.17)
91431,POINT (6437650.78 5666350.98)
91433,POINT (6437670.62 5666364.14)
91435,POINT (6437642.8 5666388.1)
62098,POINT (6427716.29 5666586.76)
62100,POINT (6427832.06 5666535.62)
62102,POINT (6427810.7 5666550.58)
62104,POINT (6427791.69 5666562.17)
62106,POINT (6427761.72 5666576.2)
62108,POINT (6427737.57 5666583.41)
60928,POINT (6428258.04 5667159.22)
60930,POINT (6428256.53 5667129.2)
60932,POINT (6428253.06 5667122.14)
60934,POINT (6428161.37 5667254.98)
60936,POINT (6428171.14 5667248.48)
60938,POINT (6428120.11 5667055.57)
59552,POINT (6427491.58 5667813.65)
60812,POINT (6428674.17 5667385.15)
60814,POINT (6428665.78 5667376.22)
60816,POINT (6428659.13 5667360.26)
60820,POINT (6428613.91 5667388.51)
60822,POINT (6428638.18 5667412.88)
60824,POINT (6428622.3 5667427.16)
60826,POINT (6428615.45 5667427.2)
60828,POINT (6428651.49 5667425.25)
60830,POINT (6428648.28 5667457.41)
60832,POINT (6428626.06 5667457.41)
60834,POINT (6428619.36 5667457.33)
60836,POINT (6428596.14 5667457.51)
60838,POINT (6428595.75 5667451.38)
60840,POINT (6428619.69 5667476.9)
60842,POINT (6428613.22 5667423.71)
60844,POINT (6428546.12 5667310.46)
638341,POINT (6427971.77 5659358.69)
641991,POINT (6427831.67 5664194.43)
645107,POINT (6430342.74 5658364.08)
89337,POINT (6433550.86 5663724.99)
82251,POINT (6433333.37 5667791.99)
62178,POINT (6427063.88 5666310.36)
93227,POINT (6428385.34 5666272.53)
93233,POINT (6431777.34 5658521.67)
93235,POINT (6428190.27 5658953.11)
93239,POINT (6428157.03 5658936.65)
