ID_mpwik,geometry
13743,POINT (6430288.01 5661395.62)
13745,POINT (6430289.33 5661403.62)
610497,POINT (6438785.29 5663873.44)
584188,POINT (6431860.49 5667595.1)
644208,POINT (6426627.98 5665417.44)
644209,POINT (6426601.48 5665424.98)
644210,POINT (6426603.59 5665432.63)
644211,POINT (6426555.4 5665431.25)
644212,POINT (6426549.67 5665439.66)
644213,POINT (6426516.9 5665442.15)
644214,POINT (6426518.75 5665448.5)
644215,POINT (6426488.05 5665450.36)
644216,POINT (6426489.85 5665456.77)
644217,POINT (6426459.39 5665465.39)
644218,POINT (6426457.58 5665459)
644219,POINT (6426424.67 5665468.4)
644220,POINT (6426426.46 5665474.72)
644229,POINT (6426358.07 5665469.38)
644230,POINT (6426387.73 5665474.43)
644239,POINT (6426248.28 5665369.75)
644240,POINT (6426245.26 5665342.46)
584199,POINT (6431878.9 5667577.86)
584208,POINT (6431884.79 5667589.84)
643526,POINT (6429831.83 5671627.87)
643527,POINT (6429836.27 5671626.7)
643528,POINT (6429837.9 5671660.16)
643529,POINT (6429840.86 5671676.47)
643530,POINT (6429845.29 5671675.47)
643531,POINT (6429842.27 5671659.29)
644241,POINT (6426272.49 5665413.2)
644242,POINT (6426278.33 5665406.82)
644243,POINT (6426308.79 5665436.06)
644245,POINT (6426333.23 5665443.71)
644246,POINT (6426335.58 5665458.86)
644259,POINT (6426229.95 5665304.93)
644257,POINT (6426220.89 5665315.95)
644258,POINT (6426215.76 5665286.8)
644260,POINT (6426215.69 5665256.79)
644261,POINT (6426215.75 5665237.86)
644262,POINT (6426218.24 5665207.99)
644263,POINT (6426226.32 5665179.05)
644264,POINT (6426249.71 5665132.94)
644265,POINT (6426242.22 5665128.93)
541252,POINT (6423578.4 5668473.7)
541253,POINT (6423586.72 5668502.45)
541254,POINT (6423595.08 5668531.17)
541255,POINT (6423603.24 5668559.07)
541257,POINT (6423622.99 5668627.24)
541256,POINT (6423613.19 5668593.6)
541258,POINT (6423629.17 5668648.58)
541259,POINT (6423634.34 5668665.55)
541260,POINT (6423644.93 5668695.5)
584104,POINT (6430172.21 5661444.36)
584105,POINT (6430169.64 5661435.68)
584117,POINT (6429993.53 5661235.43)
584119,POINT (6429988.56 5661232.78)
584177,POINT (6431816.5 5667599.96)
584178,POINT (6431809.21 5667578.66)
644146,POINT (6426591.09 5665479.94)
644147,POINT (6426598.18 5665477.85)
644150,POINT (6426599.02 5665464.97)
644151,POINT (6426629.52 5665447.1)
644152,POINT (6426632.57 5665457.66)
644153,POINT (6426659.41 5665449.91)
644154,POINT (6426681.05 5665450.82)
644155,POINT (6426692.19 5665448.54)
644156,POINT (6426678.52 5665479.71)
644157,POINT (6426686.86 5665489.2)
644158,POINT (6426663.39 5665498.31)
644159,POINT (6426661.62 5665487.62)
644160,POINT (6426662.37 5665489.89)
644161,POINT (6426663.03 5665497)
584181,POINT (6431835.35 5667581.59)
644163,POINT (6426692.54 5665506.01)
644164,POINT (6426704.11 5665502.68)
644165,POINT (6426702.26 5665495.97)
644167,POINT (6426687.67 5665456.33)
644169,POINT (6426593.13 5665481.65)
644170,POINT (6426473.81 5665498.91)
644172,POINT (6426579.94 5665454.46)
644204,POINT (6426682.16 5665402.36)
644205,POINT (6426679.44 5665392.87)
644206,POINT (6426625.63 5665409.2)
644207,POINT (6426599.3 5665416.69)
16069,POINT (6434659.92 5664674.8)
16071,POINT (6434657.28 5664681.05)
16077,POINT (6434542.64 5664623.51)
16079,POINT (6434539.92 5664629.74)
584484,POINT (6431943.15 5667728.18)
584485,POINT (6431952.54 5667704.08)
584492,POINT (6431928.12 5667764.02)
644312,POINT (6431793.51 5657550.33)
644313,POINT (6431824.8 5657543.64)
645236,POINT (6426458.4 5668276.82)
646016,POINT (6430699.22 5664608.26)
647339,POINT (6427932 5658723.35)
16061,POINT (6434939.23 5664797.62)
16063,POINT (6434937.04 5664802.86)
647373,POINT (6432260.79 5663547.69)
611508,POINT (6422495.39 5669471.19)
611509,POINT (6422522.43 5669457.55)
611554,POINT (6433577.32 5658289.9)
611555,POINT (6433576.76 5658284.95)
611556,POINT (6433550.1 5658292.84)
611557,POINT (6433549.6 5658287.82)
647374,POINT (6432266.45 5663546.93)
581675,POINT (6419759.1 5668878.97)
612327,POINT (6439592.48 5667063.56)
612328,POINT (6439565.84 5667093.04)
612329,POINT (6439546 5667115.59)
612330,POINT (6439523.7 5667140.19)
612331,POINT (6439503.81 5667158.24)
612332,POINT (6439479.06 5667175.24)
612333,POINT (6439454 5667191.82)
612334,POINT (6439429.01 5667208.58)
612335,POINT (6439396.1 5667230.77)
612336,POINT (6439345.78 5667267.53)
612337,POINT (6439326.15 5667285.88)
612338,POINT (6439297.29 5667317.25)
612339,POINT (6439270.52 5667344.25)
612340,POINT (6439241.65 5667372.66)
612341,POINT (6439215.31 5667397.79)
587677,POINT (6430744.28 5660164.98)
587678,POINT (6430732.53 5660169.45)
714685,POINT (6433372.65 5662958.01)
646812,POINT (6432049.99 5658991.33)
646960,POINT (6431864.67 5658907.03)
646827,POINT (6432009.16 5658972.79)
647724,POINT (6437069.12 5658102.25)
647725,POINT (6437065.92 5658107.54)
646864,POINT (6431973.06 5658956.39)
646900,POINT (6431899.83 5658923.08)
646930,POINT (6431837.28 5658894.58)
646938,POINT (6431808.76 5658880.52)
